base_vader_neg,base_vader_neu,base_vader_pos,base_vader_compound
0.0,1.0,0.0,0.0
0.0,0.687,0.313,0.6249
0.079,0.801,0.121,0.932
0.026,0.825,0.149,0.9505
0.0,1.0,0.0,0.0
0.049,0.951,0.0,-0.1419
0.013,0.64,0.347,0.9896
0.041,0.799,0.16,0.8207
0.0,1.0,0.0,0.0
0.0,0.812,0.188,0.8779
0.066,0.737,0.197,0.9097
0.174,0.826,0.0,-0.2755
0.092,0.725,0.183,0.3873
0.053,0.897,0.05,-0.1027
0.061,0.782,0.157,0.6892
0.029,0.735,0.236,0.9025
0.079,0.82,0.1,0.1901
0.0,0.8,0.2,0.3612
0.059,0.618,0.323,0.9385
0.176,0.646,0.178,0.2732
0.047,0.943,0.011,-0.3818
0.095,0.679,0.226,0.5229
0.0,0.651,0.349,0.7579
0.0,0.971,0.029,0.1779
0.062,0.764,0.174,0.5665
0.0,0.488,0.512,0.2732
0.577,0.423,0.0,-0.6249
0.0,0.392,0.608,0.7351
0.029,0.728,0.243,0.9772
0.089,0.735,0.176,0.895
0.0,0.552,0.448,0.4678
0.0,0.406,0.594,0.5256
0.036,0.748,0.216,0.9937
0.214,0.714,0.071,-0.6597
0.0,0.769,0.231,0.6369
0.055,0.722,0.223,0.7749
0.0,1.0,0.0,0.0
0.065,0.827,0.108,0.5118
0.059,0.863,0.078,-0.3527
0.115,0.861,0.024,-0.7639
0.137,0.73,0.132,-0.5635
0.172,0.597,0.231,0.2228
0.044,0.876,0.08,0.3384
0.0,0.286,0.714,0.3612
0.0,0.887,0.113,0.5365
0.039,0.79,0.172,0.994
0.0,1.0,0.0,0.0
0.119,0.762,0.119,0.0
0.0,0.681,0.319,0.631
0.193,0.807,0.0,-0.3384
0.0,1.0,0.0,0.0
0.0,0.921,0.079,0.5551
0.0,0.884,0.116,0.3612
0.0,0.791,0.209,0.9951
0.037,0.894,0.068,0.2247
0.0,0.549,0.451,0.6956
0.0,0.561,0.439,0.8555
0.0,0.576,0.424,0.7096
0.167,0.833,0.0,-0.34
0.0,0.833,0.167,0.6124
0.054,0.674,0.272,0.9565
0.0,0.452,0.548,0.5622
0.0,0.426,0.574,0.4019
0.08,0.698,0.222,0.5948
0.184,0.778,0.038,-0.8629
0.0,1.0,0.0,0.0
0.0,0.804,0.196,0.85
0.0,0.897,0.103,0.3182
0.106,0.554,0.34,0.565
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.488,0.512,0.6369
0.08,0.788,0.132,0.9854
0.0,1.0,0.0,0.0
0.0,0.742,0.258,0.7096
0.345,0.655,0.0,-0.2755
0.0,0.657,0.343,0.7408
0.0,0.684,0.316,0.875
0.09,0.759,0.151,0.7777
0.0,0.801,0.199,0.6908
0.165,0.835,0.0,-0.7715
0.0,0.715,0.285,0.5551
0.064,0.805,0.131,0.3578
0.0,0.84,0.16,0.2263
0.0,1.0,0.0,0.0
0.157,0.711,0.132,-0.128
0.0,0.867,0.133,0.8831
0.0,0.691,0.309,0.9104
0.061,0.91,0.028,-0.296
0.0,1.0,0.0,0.0
0.0,0.696,0.304,0.9325
0.0,0.921,0.079,0.2023
0.029,0.863,0.107,0.9633
0.103,0.794,0.102,0.226
0.043,0.803,0.154,0.6652
0.0,0.792,0.208,0.2732
0.058,0.854,0.088,0.0635
0.092,0.798,0.11,0.0772
0.0,0.728,0.272,0.8882
0.141,0.749,0.11,-0.8248
0.142,0.739,0.119,-0.9137
0.102,0.721,0.176,0.7657
0.0,1.0,0.0,0.0
0.0,0.826,0.174,0.2263
0.059,0.758,0.183,0.9866
0.077,0.9,0.023,-0.6061
0.0,1.0,0.0,0.0
0.109,0.83,0.061,-0.9462
0.099,0.836,0.064,-0.2732
0.0,0.821,0.179,0.3409
0.075,0.756,0.169,0.8208
0.089,0.829,0.081,-0.0644
0.0,1.0,0.0,0.0
0.106,0.652,0.241,0.5789
0.018,0.949,0.033,0.1379
0.0,0.895,0.105,0.5267
0.033,0.845,0.123,0.8491
0.111,0.838,0.051,-0.6956
0.0,0.821,0.179,0.2421
0.064,0.758,0.178,0.8391
0.0,1.0,0.0,0.0
0.0,0.838,0.162,0.4404
0.119,0.669,0.212,0.855
0.0,1.0,0.0,0.0
0.17,0.579,0.252,0.4277
0.0,1.0,0.0,0.0
0.038,0.844,0.118,0.765
0.0,1.0,0.0,0.0
0.272,0.37,0.358,0.1779
0.223,0.666,0.112,-0.7319
0.526,0.474,0.0,-0.9816
0.149,0.788,0.064,-0.9831
0.0,1.0,0.0,0.0
0.0,0.61,0.39,0.4927
0.094,0.697,0.209,0.5848
0.0,0.762,0.238,0.3612
0.0,1.0,0.0,0.0
0.0,0.841,0.159,0.8068
0.053,0.845,0.101,0.9721
0.034,0.84,0.126,0.945
0.167,0.833,0.0,-0.25
0.0,0.802,0.198,0.734
0.096,0.659,0.246,0.5423
0.0,0.86,0.14,0.5927
0.362,0.638,0.0,-0.6093
0.0,1.0,0.0,0.0
0.0,0.619,0.381,0.5106
0.0,1.0,0.0,0.0
0.025,0.883,0.092,0.9484
0.118,0.748,0.134,0.2518
0.083,0.917,0.0,-0.4215
0.017,0.769,0.215,0.9544
0.039,0.835,0.127,0.9776
0.0,0.824,0.176,0.5994
0.176,0.696,0.128,-0.7655
0.0,0.0,1.0,0.9245
0.05,0.836,0.114,0.8305
0.0,0.851,0.149,0.8402
0.261,0.739,0.0,-0.6486
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.038,0.79,0.172,0.989
0.0,0.823,0.177,0.8858
0.033,0.887,0.08,0.8004
0.0,1.0,0.0,0.0
0.0,0.655,0.345,0.7003
0.116,0.701,0.184,0.5943
0.103,0.768,0.13,0.4497
0.0,0.55,0.45,0.507
0.11,0.89,0.0,-0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.708,0.292,0.8591
0.042,0.851,0.107,0.5362
0.059,0.868,0.073,0.4722
0.0,0.309,0.691,0.7717
0.0,0.963,0.037,0.25
0.09,0.735,0.175,0.9336
0.131,0.717,0.152,0.6321
0.177,0.823,0.0,-0.3506
0.0,0.56,0.44,0.9238
0.0,0.775,0.225,0.4404
0.0,0.715,0.285,0.75
0.0,0.678,0.322,0.2263
0.22,0.751,0.029,-0.8733
0.05,0.878,0.072,0.6324
0.026,0.829,0.145,0.9197
0.077,0.81,0.113,0.3937
0.029,0.83,0.14,0.9194
0.033,0.915,0.051,0.1655
0.053,0.613,0.335,0.9737
0.0,0.653,0.347,0.4927
0.092,0.908,0.0,-0.2057
0.073,0.784,0.143,0.4497
0.0,0.902,0.098,0.6249
0.118,0.731,0.151,0.1648
0.04,0.841,0.119,0.8658
0.114,0.798,0.088,-0.4221
0.108,0.737,0.155,0.8802
0.168,0.832,0.0,-0.6419
0.075,0.862,0.063,-0.1187
0.083,0.811,0.105,-0.0108
0.0,0.772,0.228,0.9585
0.114,0.666,0.22,0.677
0.161,0.712,0.127,-0.3832
0.0,0.236,0.764,0.8658
0.0,0.927,0.073,0.4754
0.039,0.773,0.188,0.9435
0.074,0.781,0.145,0.9497
0.21,0.713,0.077,-0.9741
0.0,0.897,0.103,0.4588
0.044,0.865,0.091,0.4445
0.043,0.915,0.041,-0.0387
0.085,0.846,0.07,-0.09
0.072,0.902,0.026,-0.7427
0.14,0.86,0.0,-0.4767
0.0,0.702,0.298,0.624
0.355,0.263,0.382,0.0516
0.034,0.822,0.144,0.9595
0.0,0.856,0.144,0.2942
0.083,0.79,0.127,0.5707
0.0,0.567,0.433,0.8375
0.0,0.56,0.44,0.9744
0.09,0.759,0.152,0.8295
0.153,0.728,0.119,-0.1088
0.123,0.877,0.0,-0.1027
0.0,0.887,0.113,0.4215
0.075,0.88,0.045,-0.2263
0.021,0.794,0.185,0.9577
0.0,0.837,0.163,0.1901
0.0,0.828,0.172,0.63
0.651,0.349,0.0,-0.6808
0.0,0.714,0.286,0.1531
0.126,0.432,0.443,0.8436
0.0,0.775,0.225,0.4404
0.0,0.733,0.267,0.3716
0.0,0.645,0.355,0.8573
0.207,0.793,0.0,-0.3291
0.0,0.92,0.08,0.5574
0.066,0.803,0.131,0.8907
0.088,0.731,0.181,0.9825
0.0,1.0,0.0,0.0
0.0,0.728,0.272,0.6249
0.131,0.707,0.161,0.191
0.0,0.597,0.403,0.9032
0.0,0.48,0.52,0.8674
0.182,0.818,0.0,-0.1419
0.0,0.875,0.125,0.5095
0.042,0.736,0.222,0.9483
0.0,0.837,0.163,0.7351
0.0,1.0,0.0,0.0
0.066,0.847,0.087,0.9107
0.0,0.821,0.179,0.3382
0.04,0.835,0.125,0.7096
0.387,0.471,0.141,-0.5719
0.0,0.822,0.178,0.2382
0.0,0.706,0.294,0.955
0.064,0.81,0.126,0.8735
0.0,0.789,0.211,0.8442
0.042,0.844,0.114,0.8252
0.134,0.717,0.149,-0.1779
0.314,0.686,0.0,-0.4939
0.031,0.95,0.019,-0.3182
0.0,0.423,0.577,0.6249
0.079,0.709,0.213,0.765
0.0,0.821,0.179,0.9809
0.098,0.709,0.193,0.9808
0.0,0.508,0.492,0.4404
0.057,0.882,0.061,0.1113
0.0,1.0,0.0,0.0
0.0,0.627,0.373,0.7871
0.179,0.821,0.0,-0.7207
0.05,0.735,0.214,0.8271
0.123,0.788,0.09,-0.3551
0.0,0.689,0.311,0.855
0.076,0.79,0.134,0.1779
0.0,0.625,0.375,0.2023
0.0,0.973,0.027,0.1779
0.05,0.881,0.07,0.2244
0.0,0.952,0.048,0.4926
0.422,0.361,0.217,-0.4306
0.09,0.91,0.0,-0.2924
0.0,0.822,0.178,0.2382
0.0,0.748,0.252,0.4019
0.0,1.0,0.0,0.0
0.081,0.919,0.0,-0.6597
0.0,1.0,0.0,0.0
0.071,0.748,0.182,0.886
0.025,0.781,0.194,0.9928
0.0,0.787,0.213,0.8402
0.072,0.729,0.199,0.9703
0.0,0.749,0.251,0.5719
0.0,0.772,0.228,0.9787
0.248,0.564,0.188,-0.639
0.0,1.0,0.0,0.0
0.044,0.852,0.104,0.9888
0.041,0.854,0.105,0.5983
0.744,0.256,0.0,-0.4404
0.028,0.902,0.07,0.6249
0.114,0.762,0.124,0.5258
0.0,0.561,0.439,0.8221
0.0,0.922,0.078,0.4374
0.0,0.734,0.266,0.4404
0.047,0.888,0.065,0.1646
0.0,1.0,0.0,0.0
0.078,0.789,0.133,0.229
0.259,0.741,0.0,-0.5574
0.206,0.697,0.097,-0.4939
0.052,0.775,0.173,0.9396
0.084,0.861,0.055,-0.8558
0.16,0.84,0.0,-0.4588
0.121,0.8,0.079,-0.8363
0.067,0.74,0.193,0.8887
0.014,0.809,0.177,0.9728
0.0,0.523,0.477,0.802
0.044,0.929,0.027,-0.1761
0.135,0.779,0.086,-0.5914
0.016,0.802,0.182,0.9923
0.137,0.863,0.0,-0.6956
0.0,0.303,0.697,0.3182
0.071,0.825,0.104,0.6479
0.078,0.779,0.144,0.9968
0.061,0.755,0.184,0.6184
0.0,0.836,0.164,0.7414
