
========== ENHANCED RoBERTa EXCLUSIVE RULE TABLE ==========
                              rule_key  rule_group  exclusive_applications  corrected  harmed  net_correction  decisive_cases  correction_precision decision
                         negator:ain't     negator                       0          0       0               0               0                   NaN   UNUSED
                          negator:aint     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:aren't     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:arent     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:can't     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:cannot     negator                       0          0       0               0               0                   NaN   UNUSED
                          negator:cant     negator                       0          0       0               0               0                   NaN   UNUSED
                      negator:couldn't     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:couldnt     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:didn't     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:didnt     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:doesn't     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:doesnt     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:don't     negator                       0          0       0               0               0                   NaN   UNUSED
                          negator:dont     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:hadn't     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:hadnt     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:hasn't     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:hasnt     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:haven't     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:havent     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:isn't     negator                       0          0       0               0               0                   NaN   UNUSED
                          negator:isnt     negator                       0          0       0               0               0                   NaN   UNUSED
                           negator:n't     negator                       0          0       0               0               0                   NaN   UNUSED
                     negator:not_clear     negator                       0          0       0               0               0                   NaN   UNUSED
                      negator:not_good     negator                       0          0       0               0               0                   NaN   UNUSED
                     negator:not_great     negator                       0          0       0               0               0                   NaN   UNUSED
                    negator:not_useful     negator                       0          0       0               0               0                   NaN   UNUSED
                            negator:nt     negator                       0          0       0               0               0                   NaN   UNUSED
                     negator:shouldn't     negator                       0          0       0               0               0                   NaN   UNUSED
                      negator:shouldnt     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:wasn't     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:wasnt     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:weren't     negator                       0          0       0               0               0                   NaN   UNUSED
                        negator:werent     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:without     negator                       0          0       0               0               0                   NaN   UNUSED
                         negator:won't     negator                       0          0       0               0               0                   NaN   UNUSED
                          negator:wont     negator                       0          0       0               0               0                   NaN   UNUSED
                      negator:wouldn't     negator                       0          0       0               0               0                   NaN   UNUSED
                       negator:wouldnt     negator                       0          0       0               0               0                   NaN   UNUSED
                phrase:bad_translation      phrase                       0          0       0               0               0                   NaN   UNUSED
            phrase:battery_drains_fast      phrase                       0          0       0               0               0                   NaN   UNUSED
           phrase:better_than_expected      phrase                       0          0       0               0               0                   NaN   UNUSED
        phrase:cannot_recommend_enough      phrase                       0          0       0               0               0                   NaN   UNUSED
                   phrase:cheaply_made      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:color_faded      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:comfortable_fit      phrase                       0          0       0               0               0                   NaN   UNUSED
           phrase:could_not_be_happier      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:dead_on_arrival      phrase                       0          0       0               0               0                   NaN   UNUSED
           phrase:does_not_hold_charge      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:does_not_work      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:easy_to_follow      phrase                       0          0       0               0               0                   NaN   UNUSED
          phrase:exceeded_expectations      phrase                       0          0       0               0               0                   NaN   UNUSED
             phrase:fabric_feels_cheap      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:fell_apart      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:flickering_screen      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:great_read      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:had_to_return      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:hard_to_follow      phrase                       0          0       0               0               0                   NaN   UNUSED
             phrase:highly_informative      phrase                       0          0       0               0               0                   NaN   UNUSED
               phrase:highly_recommend      phrase                       0          0       0               0               0                   NaN   UNUSED
            phrase:keeps_disconnecting      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:low_quality      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:missing_pages      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:missing_parts      phrase                       0          0       0               0               0                   NaN   UNUSED
phrase:neutral_average_nothing_special      phrase                       0          0       0               0               0                   NaN   UNUSED
       phrase:neutral_decent_for_price      phrase                       0          0       0               0               0                   NaN   UNUSED
          phrase:neutral_expected_more      phrase                       0          0       0               0               0                   NaN   UNUSED
     phrase:neutral_good_but_not_great      phrase                       0          0       0               0               0                   NaN   UNUSED
      phrase:neutral_not_bad_not_great      phrase                       0          0       0               0               0                   NaN   UNUSED
        phrase:neutral_okay_but_issues      phrase                       0          0       0               0               0                   NaN   UNUSED
          phrase:neutral_pros_and_cons      phrase                       0          0       0               0               0                   NaN   UNUSED
  phrase:neutral_somewhat_disappointed      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:neutral_works_but      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:never_received      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:no_complaints      phrase                       0          0       0               0               0                   NaN   UNUSED
                      phrase:no_issues      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:no_longer_works      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:no_problems      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:no_regrets      phrase                       0          0       0               0               0                   NaN   UNUSED
               phrase:not_as_described      phrase                       0          0       0               0               0                   NaN   UNUSED
                        phrase:not_bad      phrase                       0          0       0               0               0                   NaN   UNUSED
                   phrase:not_charging      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:not_delivered      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:not_fitting      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:not_lasting      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:not_powering_on      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:not_satisfied      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:not_turning_on      phrase                       0          0       0               0               0                   NaN   UNUSED
                   phrase:not_worth_it      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:overheats_quickly      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:poor_connection      phrase                       0          0       0               0               0                   NaN   UNUSED
                       phrase:poor_fit      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:poorly_written      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:printing_error      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:runs_large      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:runs_small      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:screen_cracked      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:seam_ripped      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:see_through      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:shrunk_after_wash      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:stopped_working      phrase                       0          0       0               0               0                   NaN   UNUSED
     phrase:touchscreen_not_responsive      phrase                       0          0       0               0               0                   NaN   UNUSED
                   phrase:true_to_size      phrase                       0          0       0               0               0                   NaN   UNUSED
                    phrase:want_refund      phrase                       0          0       0               0               0                   NaN   UNUSED
                 phrase:waste_of_money      phrase                       0          0       0               0               0                   NaN   UNUSED
                   phrase:well_written      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:works_as_expected      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:works_perfectly      phrase                       0          0       0               0               0                   NaN   UNUSED
              phrase:worth_every_penny      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:would_buy_again      phrase                       0          0       0               0               0                   NaN   UNUSED
            phrase:would_not_recommend      phrase                       0          0       0               0               0                   NaN   UNUSED
                phrase:would_recommend      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:wrong_item      phrase                       0          0       0               0               0                   NaN   UNUSED
                     phrase:wrong_size      phrase                       0          0       0               0               0                   NaN   UNUSED
                  phrase:zipper_broken      phrase                       0          0       0               0               0                   NaN   UNUSED

========== ENHANCED RoBERTa EXCLUSIVE KEEP RULES ==========
Empty DataFrame
Columns: [rule_key, rule_group, exclusive_applications, corrected, harmed, net_correction, decisive_cases, correction_precision, decision]
Index: []

========== ENHANCED RoBERTa EXCLUSIVE REVIEW RULES ==========
             rule_key  rule_group  exclusive_applications  corrected  harmed  net_correction  decisive_cases  correction_precision decision
          negator:not     negator                      16          0       0               0               0                   NaN   REVIEW
         contrast:but    contrast                      13          0       0               0               0                   NaN   REVIEW
     intensifier:very intensifier                       4          0       0               0               0                   NaN   REVIEW
   intensifier:really intensifier                       2          0       0               0               0                   NaN   REVIEW
           negator:no     negator                       2          0       0               0               0                   NaN   REVIEW
     contrast:however    contrast                       1          0       0               0               0                   NaN   REVIEW
    diminisher:almost  diminisher                       1          0       0               0               0                   NaN   REVIEW
intensifier:extremely intensifier                       1          0       0               0               0                   NaN   REVIEW
        negator:never     negator                       1          0       0               0               0                   NaN   REVIEW
   phrase:works_great      phrase                       1          0       0               0               0                   NaN   REVIEW
   phrase:wrong_color      phrase                       1          0       0               0               0                   NaN   REVIEW

========== ENHANCED RoBERTa EXCLUSIVE CULL RULES ==========
Empty DataFrame
Columns: [rule_key, rule_group, exclusive_applications, corrected, harmed, net_correction, decisive_cases, correction_precision, decision]
Index: []
