enhanced_vader_neg,enhanced_vader_neu,enhanced_vader_pos,enhanced_vader_compound
0.43,0.349,0.221,-0.4215
0.0,0.89,0.11,0.3818
0.0,1.0,0.0,0.0
0.0,0.687,0.313,0.6249
0.079,0.801,0.121,0.932
0.047,0.786,0.166,0.9516
0.0,1.0,0.0,0.0
0.12,0.88,0.0,-0.4224
0.013,0.64,0.347,0.9896
0.041,0.799,0.16,0.8207
0.0,1.0,0.0,0.0
0.0,0.812,0.188,0.8779
0.066,0.737,0.197,0.9097
0.174,0.826,0.0,-0.2755
0.092,0.725,0.183,0.3873
0.053,0.897,0.05,-0.1027
0.047,0.763,0.19,0.7092
0.029,0.735,0.236,0.9025
0.079,0.82,0.1,0.1901
0.0,0.8,0.2,0.3612
0.059,0.618,0.323,0.9385
0.176,0.646,0.178,0.2732
0.062,0.928,0.01,-0.4798
0.085,0.588,0.327,0.743
0.152,0.522,0.326,0.4588
0.0,0.971,0.029,0.1779
0.122,0.642,0.236,0.4378
0.0,0.488,0.512,0.2732
0.577,0.423,0.0,-0.6249
0.0,0.392,0.608,0.7351
0.029,0.711,0.26,0.9805
0.102,0.72,0.177,0.8512
0.0,0.552,0.448,0.4678
0.0,0.406,0.594,0.5256
0.036,0.735,0.229,0.9949
0.214,0.714,0.071,-0.6597
0.0,0.769,0.231,0.6369
0.055,0.722,0.223,0.7749
0.0,1.0,0.0,0.0
0.065,0.827,0.108,0.5118
0.059,0.863,0.078,-0.3527
0.115,0.861,0.024,-0.7639
0.137,0.73,0.132,-0.5635
0.172,0.597,0.231,0.2228
0.044,0.876,0.08,0.3384
0.0,0.286,0.714,0.3612
0.067,0.766,0.167,0.4874
0.028,0.795,0.177,0.9953
0.0,1.0,0.0,0.0
0.119,0.762,0.119,0.0
0.0,0.681,0.319,0.631
0.291,0.709,0.0,-0.5709
0.0,1.0,0.0,0.0
0.081,0.85,0.07,-0.1278
0.0,0.884,0.116,0.3612
0.0,0.791,0.209,0.9951
0.036,0.853,0.11,0.5699
0.58,0.257,0.163,-0.7071
0.0,0.561,0.439,0.8555
0.0,0.576,0.424,0.7096
0.167,0.833,0.0,-0.34
0.0,0.744,0.256,0.8047
0.054,0.674,0.272,0.9565
0.0,0.452,0.548,0.5622
0.0,0.426,0.574,0.4019
0.08,0.698,0.222,0.5948
0.184,0.778,0.038,-0.8629
0.0,1.0,0.0,0.0
0.114,0.705,0.181,0.3506
0.0,0.897,0.103,0.3182
0.106,0.554,0.34,0.565
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.448,0.552,0.5719
0.08,0.788,0.132,0.9854
0.0,1.0,0.0,0.0
0.0,0.742,0.258,0.7096
0.345,0.655,0.0,-0.2755
0.0,0.657,0.343,0.7408
0.0,0.684,0.316,0.875
0.116,0.744,0.141,0.5283
0.0,0.717,0.283,0.8271
0.254,0.746,0.0,-0.9059
0.0,0.715,0.285,0.5551
0.0,0.864,0.136,0.5972
0.0,0.84,0.16,0.2263
0.0,1.0,0.0,0.0
0.417,0.471,0.111,-0.8455
0.024,0.825,0.15,0.8686
0.0,0.691,0.309,0.9104
0.113,0.859,0.028,-0.6908
0.0,1.0,0.0,0.0
0.0,0.792,0.208,0.8246
0.0,0.921,0.079,0.2023
0.029,0.863,0.107,0.9633
0.103,0.794,0.102,0.226
0.043,0.803,0.154,0.6652
0.0,0.792,0.208,0.2732
0.055,0.807,0.138,0.8569
0.092,0.798,0.11,0.0772
0.0,0.728,0.272,0.8882
0.141,0.749,0.11,-0.8248
0.142,0.739,0.119,-0.9137
0.1,0.696,0.204,0.8708
0.0,1.0,0.0,0.0
0.0,0.826,0.174,0.2263
0.059,0.758,0.183,0.9866
0.077,0.9,0.023,-0.6061
0.0,1.0,0.0,0.0
0.118,0.826,0.056,-0.9654
0.099,0.836,0.064,-0.2732
0.154,0.65,0.195,0.1292
0.074,0.737,0.189,0.8525
0.093,0.833,0.073,-0.1531
0.0,1.0,0.0,0.0
0.106,0.652,0.241,0.5789
0.018,0.949,0.033,0.1379
0.165,0.739,0.097,-0.5267
0.033,0.845,0.123,0.8491
0.087,0.848,0.065,-0.2967
0.0,0.821,0.179,0.2421
0.064,0.758,0.178,0.8391
0.0,1.0,0.0,0.0
0.0,0.838,0.162,0.4404
0.119,0.669,0.212,0.855
0.0,1.0,0.0,0.0
0.17,0.579,0.252,0.4277
0.0,1.0,0.0,0.0
0.038,0.844,0.118,0.765
0.0,1.0,0.0,0.0
0.272,0.37,0.358,0.1779
0.223,0.597,0.18,-0.4697
0.384,0.616,0.0,-0.9523
0.149,0.788,0.064,-0.9831
0.0,1.0,0.0,0.0
0.0,0.61,0.39,0.4927
0.094,0.697,0.209,0.5848
0.0,0.762,0.238,0.3612
0.0,1.0,0.0,0.0
0.0,0.841,0.159,0.8068
0.053,0.845,0.101,0.9721
0.018,0.833,0.149,0.9719
0.167,0.833,0.0,-0.25
0.0,0.802,0.198,0.734
0.096,0.659,0.246,0.5423
0.0,0.86,0.14,0.5927
0.362,0.638,0.0,-0.6093
0.0,1.0,0.0,0.0
0.0,0.619,0.381,0.5106
0.0,1.0,0.0,0.0
0.025,0.883,0.092,0.9484
0.139,0.715,0.147,-0.1181
0.083,0.917,0.0,-0.4215
0.017,0.769,0.215,0.9544
0.039,0.835,0.127,0.9776
0.134,0.702,0.164,-0.0258
0.194,0.679,0.128,-0.8791
0.0,0.095,0.905,0.8588
0.05,0.836,0.114,0.8305
0.0,0.851,0.149,0.8402
0.261,0.739,0.0,-0.6486
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.038,0.79,0.172,0.989
0.0,0.823,0.177,0.8858
0.023,0.901,0.075,0.7715
0.0,1.0,0.0,0.0
0.0,0.655,0.345,0.7003
0.116,0.701,0.184,0.5943
0.103,0.768,0.13,0.4497
0.0,0.55,0.45,0.507
0.11,0.89,0.0,-0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.708,0.292,0.8591
0.042,0.851,0.107,0.5362
0.068,0.859,0.073,-0.2247
0.0,0.309,0.691,0.7717
0.0,0.963,0.037,0.25
0.09,0.735,0.175,0.9336
0.131,0.717,0.152,0.6321
0.177,0.823,0.0,-0.3506
0.0,0.623,0.377,0.8977
0.0,0.775,0.225,0.4404
0.0,0.715,0.285,0.75
0.487,0.263,0.25,-0.4215
0.225,0.746,0.029,-0.8748
0.05,0.878,0.072,0.6324
0.026,0.829,0.145,0.9197
0.077,0.81,0.113,0.3937
0.029,0.83,0.14,0.9194
0.115,0.836,0.048,-0.3741
0.053,0.613,0.335,0.9737
0.0,0.653,0.347,0.4927
0.324,0.588,0.088,-0.765
0.073,0.784,0.143,0.4497
0.0,0.902,0.098,0.6249
0.118,0.731,0.151,0.1648
0.052,0.821,0.128,0.8592
0.109,0.75,0.141,0.3261
0.096,0.748,0.156,0.9298
0.168,0.832,0.0,-0.6419
0.075,0.862,0.063,-0.1187
0.083,0.811,0.105,-0.0108
0.0,0.772,0.228,0.9585
0.114,0.666,0.22,0.677
0.161,0.712,0.127,-0.3832
0.0,0.408,0.592,0.7003
0.082,0.845,0.073,-0.1045
0.039,0.773,0.188,0.9435
0.062,0.792,0.146,0.963
0.214,0.708,0.078,-0.9756
0.0,0.897,0.103,0.4588
0.057,0.852,0.092,0.292
0.043,0.915,0.041,-0.0387
0.264,0.674,0.062,-0.7498
0.072,0.902,0.026,-0.7427
0.14,0.86,0.0,-0.4767
0.0,0.702,0.298,0.624
0.355,0.263,0.382,0.0516
0.034,0.804,0.162,0.9705
0.0,0.856,0.144,0.2942
0.083,0.79,0.127,0.5707
0.0,0.567,0.433,0.8375
0.0,0.614,0.386,0.9632
0.09,0.759,0.152,0.8295
0.153,0.728,0.119,-0.1088
0.123,0.877,0.0,-0.1027
0.0,0.802,0.198,0.6369
0.075,0.88,0.045,-0.2263
0.021,0.794,0.185,0.9577
0.0,0.837,0.163,0.1901
0.0,0.828,0.172,0.63
0.651,0.349,0.0,-0.6808
0.0,0.714,0.286,0.1531
0.126,0.432,0.443,0.8436
0.0,0.775,0.225,0.4404
0.0,0.733,0.267,0.3716
0.0,0.632,0.368,0.836
0.207,0.793,0.0,-0.3291
0.079,0.845,0.076,-0.2846
0.066,0.803,0.131,0.8907
0.104,0.711,0.185,0.9758
0.0,1.0,0.0,0.0
0.0,0.728,0.272,0.6249
0.131,0.707,0.161,0.191
0.0,0.611,0.389,0.8873
0.0,0.48,0.52,0.8674
0.182,0.818,0.0,-0.1419
0.0,0.875,0.125,0.5095
0.042,0.727,0.231,0.9551
0.0,0.837,0.163,0.7351
0.0,1.0,0.0,0.0
0.066,0.847,0.087,0.9107
0.0,0.821,0.179,0.3382
0.04,0.835,0.125,0.7096
0.476,0.378,0.146,-0.7269
0.0,0.822,0.178,0.2382
0.0,0.71,0.29,0.9499
0.064,0.81,0.126,0.8735
0.0,0.789,0.211,0.8442
0.042,0.844,0.114,0.8252
0.215,0.642,0.143,-0.8555
0.649,0.351,0.0,-0.8126
0.031,0.95,0.019,-0.3182
0.0,0.423,0.577,0.6249
0.084,0.774,0.142,0.4019
0.0,0.821,0.179,0.9809
0.098,0.709,0.193,0.9808
0.0,0.508,0.492,0.4404
0.057,0.882,0.061,0.1113
0.0,1.0,0.0,0.0
0.0,0.387,0.613,0.8883
0.179,0.821,0.0,-0.7207
0.05,0.735,0.214,0.8271
0.146,0.764,0.09,-0.6323
0.0,0.634,0.366,0.893
0.0,0.761,0.239,0.7096
0.0,0.625,0.375,0.2023
0.048,0.926,0.026,-0.3384
0.05,0.881,0.07,0.2244
0.0,0.952,0.048,0.4926
0.231,0.513,0.256,0.0767
0.09,0.91,0.0,-0.2924
0.0,0.822,0.178,0.2382
0.236,0.551,0.213,-0.0772
0.0,1.0,0.0,0.0
0.081,0.919,0.0,-0.6597
0.0,1.0,0.0,0.0
0.079,0.771,0.15,0.6486
0.025,0.767,0.208,0.9937
0.0,0.787,0.213,0.8402
0.072,0.729,0.199,0.9703
0.0,0.749,0.251,0.5719
0.039,0.739,0.223,0.967
0.248,0.564,0.188,-0.639
0.0,1.0,0.0,0.0
0.044,0.852,0.104,0.9888
0.041,0.854,0.105,0.5983
0.744,0.256,0.0,-0.4404
0.028,0.902,0.07,0.6249
0.114,0.762,0.124,0.5258
0.0,0.561,0.439,0.8221
0.0,0.922,0.078,0.4374
0.0,0.734,0.266,0.4404
0.0,0.934,0.066,0.3284
0.0,1.0,0.0,0.0
0.109,0.754,0.138,-0.0094
0.259,0.741,0.0,-0.5574
0.206,0.697,0.097,-0.4939
0.052,0.775,0.173,0.9396
0.084,0.861,0.055,-0.8558
0.16,0.84,0.0,-0.4588
0.121,0.8,0.079,-0.8363
0.067,0.74,0.193,0.8887
0.014,0.809,0.177,0.9728
0.0,0.523,0.477,0.802
0.044,0.929,0.027,-0.1761
0.147,0.774,0.079,-0.6605
0.016,0.804,0.18,0.9917
0.137,0.863,0.0,-0.6956
0.0,0.303,0.697,0.3182
0.071,0.826,0.104,0.6334
0.078,0.775,0.147,0.9971
0.088,0.727,0.184,0.487
0.0,0.94,0.06,0.2732
